,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-70081,-0.32820660046378375,0.4755534100244643,0.8922059269586617,0.36591194040689956,-0.4387851649095333,-0.28196463333080735,-0.2958740063959649,0.18983295517182974,-1.131022906807189,-0.010965614615788745,-0.146509199189957,-1.0386585130793693,0.37085501735234944,0.4177181947721482,0.6402720858903835,-0.22082389274031317,0.34685494218614676,0.1101356023799863,-1.1025039008729052,0.08993650817372234,-0.6602741262361895,-0.058522130858626904,-0.5207152287490988,0.5381539458064811,-0.7745970030855371
-35043,-0.1840904513510296,0.44441711173640325,-0.20466589220082937,-4.02250443737674,-0.46516961044709115,1.5929148279144487,-0.6172981982111061,2.4284334171884714,-1.3539127445883474,0.34881193786407566,3.188260677141839,-0.5661124772471015,-1.8518364277526025,4.5302866166469,3.154793492157002,0.05907161580502911,1.7716672450138031,3.644562393627676,0.45251946007096394,2.4923127065358055,0.1250986357578904,-0.7470732282631085,0.6217993849883868,-1.4608609600772802,-0.31453110893602115
-80353,1.2955396093926288,0.39445987419606804,0.38429182767782194,-0.5187868931679617,-0.6366811451443108,-0.32171820496620246,-0.044941925266375374,-0.5255022901143148,0.2406214268170325,0.8785445751968006,-0.16195722132972618,-0.5827377457317137,0.4968528641106157,0.19639816287011577,0.7064186235447266,0.6288809066600081,-0.19880463436593918,0.005990985548063597,0.06239953789413706,0.5099861184371921,0.1536270687585849,-0.7007439088845341,0.19715802880971972,0.7979122923350368,0.23731854647621436
-66766,-0.2781127558859942,-0.3662184062351679,0.14863607943703394,-0.6221821784693276,-0.6558564055909858,0.5535226495028649,-0.4207211682564109,-0.003052748512257945,0.6257406451280693,0.19671694116484714,-1.1480446444852426,-0.4162107149747402,0.18057337100136137,-0.17299970092898628,0.33474903588899435,0.21066503918908439,-0.8829390770894997,0.41539911783107014,0.09580162041715978,-0.5476805171441833,-0.24515690017700267,0.22099649959213544,0.7676705358317366,0.028655950076021047,0.0812320719999668
91550,-0.3811356899037587,-0.632767256846949,-0.8076571818800052,0.37797170975100164,0.31894799290011827,0.03082390641097638,0.11066788253927076,-0.08596598831717338,0.6732302097495038,0.1844656102653322,0.13719172547160163,0.14020607815359107,0.5718657812844473,-0.08760581974794016,-0.34098605194350645,0.38587755200570445,-0.7507893079049694,0.34179910558356713,-0.10768742401590962,-0.13576395236790084,-0.5807754028446029,-0.018481667518257614,0.5762657471850923,0.7029148069686909,-0.22936690625437567
-44054,-0.7336691130580376,0.4254886228382512,0.16702246860514963,-0.7826110223978813,-0.2213457900051077,-0.2666952883006639,0.030318226015348223,-0.5429750933887203,-0.3376502008020012,0.037141777160068265,-0.4462354968287128,-0.5040732746378817,0.08477263366308684,0.24895996260829534,0.021383844697344057,-0.501272773932754,-0.18792168839898862,-0.37780849612441997,0.357875396999113,0.39599828367725926,-0.150008908746675,0.15464070908885633,3.8341460817305854e-05,0.1821174056856204,0.25403338333872905
-67766,-0.5447750727141418,-1.6104750774427474,-2.012824795234383,-0.6365042834208228,1.754308066371405,0.9025966058587519,-0.6995740125608919,0.35770038214231026,1.0894032810697547,-0.6168399217464046,0.5865489990337815,1.119118633312662,-0.8998947531267142,-0.4126195860600378,-1.0910145117722605,-0.5055108551065814,0.07995924449364145,0.11424575217698348,0.710415245263498,0.16218348103852187,0.5551396439333646,0.8198418776922061,-0.32067648141511823,-0.36008925852205415,-0.7253179234872759
-55058,-0.15619415433206232,0.40054575535115633,-0.13656162009075784,0.12280394503077796,0.020360167314780086,-0.6667433809160387,0.5850065384134276,-0.19795376778948673,-0.06726968593310116,0.09884927344945829,0.6895805472316451,0.07249386595021166,-0.13264944738857085,0.455015331511855,0.07582154678503587,-0.15130813792769943,-0.7811866341479441,0.07516741902088224,0.024443077432426134,0.19658165899612473,-0.08019529751507062,-0.6857790710416551,0.5968787150655185,0.3877461169018147,-0.14810770561234093
-16825,-0.01836050497130462,-0.2228771738539246,-0.04343505514799908,-1.0129017450256983,0.10550798850115008,0.4094399902899997,-0.4287003148723536,-0.3975538253898711,-0.7225061580890677,0.30001010305806386,-0.3243694259618638,0.12949655610312866,-0.8800725434426826,0.39779355267941596,-0.11672650271801813,0.588404721923832,-0.17024138296017444,-0.0601123100204124,-0.23721067496972975,-0.17289820237918127,-0.4678659742855224,1.030495358747299,0.9685493661983031,0.2474499646266817,0.01832849518184134
-28984,-0.18389812612792827,0.49079212754321433,0.10578037010132073,0.4630994467938282,0.15071661159733046,0.3032078231875988,-0.5071589424196592,0.21263129003077372,-0.004163514617941146,-0.40548806572024015,0.23622284277765526,0.042584503645935086,-0.44058503295627977,-0.3581311013311764,-0.06186915545079491,-0.0790087958172552,0.2769864951356224,-0.4332657684312265,0.04884241338513357,-0.2799965140902152,-0.2382405406033017,-0.28166991693754867,-0.21592227229447242,-0.09664851434264898,0.02035409839940695
9254,-0.9382320523602887,0.4933002608483249,-0.3052230001173334,-0.9890052978428768,0.18176333432994646,0.20508513833849332,0.14489361950009402,-0.49417020977626724,0.4593814922657955,-0.007604608891555593,-0.5058777658601162,-0.5280202462525411,-0.1769584835661937,0.16443598675500132,-0.013055075178803662,0.08345348670207811,0.14587588137897448,0.5567962000275897,0.4387889361486752,-0.1051894024484443,0.06497842296858414,0.7594036469162059,-0.26214131856032696,0.8798363707938466,-0.42821015676475005
